PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(L, 11-7)",4.2,4,6,0,3,6,0,2.99
Szapucki,1.1,1,0,0,0,2,0,16.88
"Young, Al",1.0,2,0,0,0,3,0,1.86
Littell,1.0,0,0,0,0,2,0,4.46
,8.0,7,6,0,3,13,0,
