BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,1,0,0,2,4,.239,.648
"Reyes, VRF",4,1,1,0,0,1,1,.274,.668
Clemens2B,3,1,1,1,1,2,2,.151,.496
"Castro, H1B",4,1,1,1,0,2,3,.280,.708
"Castro, WSS",4,0,1,2,0,1,3,.247,.652
"Carpenter, KDH",4,0,0,0,0,1,1,.188,.676
Candelario3B,4,1,1,0,0,2,0,.195,.582
BarnhartC,3,1,1,0,1,1,0,.208,.508
BaddooLF,2,1,0,0,1,1,1,.190,.486
,32,6,7,4,3,13,15,,
