BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,0,1,2,0,0,0,.302,.812
Choi1B,4,0,2,0,0,1,0,.285,.859
"Ramírez, HDH",4,0,0,0,0,1,2,.326,.815
Aranda2B,3,1,2,0,0,1,0,.375,.813
"Mejía, FC",1,0,0,0,0,0,0,.239,.640
BethancourtC,3,1,1,0,0,0,1,.246,.671
Chang2B,1,0,0,0,0,1,0,.172,.488
"Lowe, JRF",4,1,1,1,0,2,1,.187,.564
WallsSS,3,1,2,2,0,0,0,.172,.534
"Raley, LLF",2,1,0,0,0,1,2,.071,.306
"Phillips, BCF",2,0,0,0,0,2,0,.144,.453
,31,5,9,5,0,9,6,,
