PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
Rasmussen,6.0,4,3,3,1,5,1,3.22
"Romero, T(W, 1-0)",1.0,0,0,0,0,1,0,7.71
"Raley, B(H, 12)",0.2,1,0,0,0,2,0,2.96
"Adam(H, 14)",0.1,0,0,0,0,1,0,1.24
"Beeks(S, 1)",1.0,2,1,1,1,1,0,2.48
,9.0,7,4,4,2,10,1,
