PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Gonsolin(W, 5-0)",6.0,4,2,2,0,7,0,1.80
"Bruihl(H, 3)",1.0,0,0,0,0,1,0,2.08
"Vesia(H, 6)",1.0,0,0,0,1,2,0,2.57
"Hudson, D(S, 3)",1.0,1,0,0,0,2,0,2.25
,9.0,5,2,2,1,12,0,
