PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Kelly, M(L, 3-3)",5.0,7,3,3,2,5,1,3.67
"Nelson, K",1.0,2,0,0,0,2,0,1.15
Poppen,1.0,0,0,0,1,0,0,3.00
"Ramirez, No",1.0,1,0,0,0,1,0,3.05
Mantiply,1.0,0,0,0,0,1,0,0.48
,9.0,10,3,3,3,9,1,
