PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Lorenzen(W, 6-3)",6.1,6,1,1,1,4,0,3.45
Loup,0.2,1,0,0,0,1,0,4.29
"Ortega, O",2.0,3,5,1,1,3,2,3.81
,9.0,10,6,2,2,8,2,
