BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,0,0,0,0,1,4,.263,.779
PlummerRF,1,0,0,0,0,1,1,.211,.829
CanhaLF,3,1,1,1,2,2,2,.301,.767
LindorSS,5,1,1,0,0,0,5,.249,.749
Alonso1B,4,1,1,1,0,0,2,.280,.905
LeeCF,1,1,1,3,0,0,0,.500,2.500
McNeilRF,4,0,0,0,0,0,1,.312,.800
Mazeika1B,1,0,0,0,0,1,0,.186,.531
Escobar3B,4,0,1,0,0,1,1,.248,.730
ShreveP,0,0,0,0,0,0,0,.000,.000
WilliamsP,0,0,0,0,0,0,0,.000,.000
"Davis, JDH-3B",4,1,2,0,0,1,1,.254,.692
Guillorme2B,4,0,2,0,0,0,1,.327,.822
NidoC,4,1,1,0,0,1,6,.255,.571
,39,6,10,5,2,8,24,,
