PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Falter,4.0,5,3,3,1,5,1,4.88
"Nelson, N",1.1,1,0,0,0,2,0,4.50
"Alvarado(W, 2-1)",0.2,0,0,0,1,2,0,5.66
"Bellatti(H, 5)",1.0,0,0,0,1,2,0,3.51
"Domínguez(H, 11)",1.0,1,0,0,0,2,0,1.57
"Hand(S, 3)",1.0,0,0,0,0,2,0,2.22
,9.0,7,3,3,3,15,1,
