BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,2,1,0,0,1,.221,.851
Hoskins1B,1,1,1,2,2,0,0,.254,.837
"Castellanos, NRF",4,0,0,0,0,0,4,.245,.680
"Hall, DDH",4,1,1,1,0,1,3,.231,1.154
GregoriusSS,4,0,0,0,0,0,3,.255,.678
Stott2B,4,0,1,0,0,0,0,.185,.538
StubbsC,4,1,0,0,0,1,1,.280,.917
Vierling3B,2,1,1,0,2,1,0,.247,.708
"Munoz, Y3B",0,0,0,0,0,0,0,.190,.768
MoniakCF,4,1,1,1,0,0,3,.139,.372
,31,5,7,5,4,3,15,,
