PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Morton,6.0,6,5,5,1,7,3,4.26
McHugh,0.2,1,0,0,0,1,0,3.19
Minter,0.1,0,0,0,0,1,0,2.54
"Iglesias, R(BS, 4)",1.0,2,1,1,0,3,0,3.96
Jansen,1.0,1,0,0,1,1,0,3.48
"Lee, D(W, 3-0)(BS, 3)",1.0,1,1,0,0,1,0,1.74
"Matzek(S, 1)",1.0,0,0,0,0,2,0,3.86
,11.0,11,7,6,2,16,3,
