BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,0,0,0,2,0,2,.275,.922
"Marte, SRF",4,0,2,2,0,0,0,.250,.677
LindorSS,5,0,0,0,0,1,7,.274,.858
AlonsoDH,3,0,0,0,0,0,1,.257,.724
Escobar3B,3,0,0,0,1,1,1,.254,.834
"Smith, Do1B",3,0,0,0,0,0,1,.188,.527
CanhaLF,3,0,1,0,1,1,1,.318,.741
1-JankowskiPR-LF,0,1,0,0,0,0,0,.318,.718
McNeil2B,4,1,2,0,0,0,2,.328,.880
McCannC,4,1,3,1,0,1,2,.194,.619
,32,3,8,3,4,4,17,,
