PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Kershaw(W, 2-0)",5.0,6,4,4,0,7,2,3.00
"Graterol(H, 2)",1.0,2,0,0,0,2,0,0.00
"Hudson, D(H, 2)",1.0,1,0,0,0,2,0,0.00
"Bickford(H, 1)",1.0,1,0,0,0,0,0,0.00
"Kimbrel(S, 3)",1.0,0,0,0,0,1,0,3.00
,9.0,10,4,4,0,12,2,
