PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Ynoa(L, 0-2)",3.2,4,5,5,4,4,1,13.50
Newcomb,1.1,2,1,1,2,1,0,7.20
Minter,1.0,0,0,0,0,2,0,1.93
O'Day,1.0,0,0,0,0,0,0,0.00
Stephens,1.0,1,1,1,1,0,1,4.50
,8.0,7,7,7,7,7,2,
