PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Muller(W, 1-1)",5.0,3,2,2,1,5,1,10.57
"Stephens(H, 2)",2.0,1,0,0,1,2,0,2.66
"Iglesias, R(H, 2)",1.0,1,0,0,0,0,0,3.76
"Jansen(S, 26)",1.0,0,0,0,1,0,0,3.32
,9.0,5,2,2,3,7,1,
