PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Mikolas(L, 5-5)",6.1,4,2,2,2,3,1,2.64
Oviedo,1.2,2,0,0,0,1,0,3.55
,8.0,6,2,2,2,4,1,
