BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,1,1,0,0,0,2,.217,.693
Mancini1B,3,0,0,0,1,1,2,.224,.593
SantanderDH,4,1,1,2,0,2,1,.241,.852
HaysLF,3,0,0,0,0,0,1,.238,.730
"Urías, R3B",4,0,2,0,0,1,0,.203,.479
ChirinosC,4,0,0,0,0,1,3,.189,.561
Owings2B,2,0,0,0,0,1,1,.143,.437
a-OdorPH-2B,2,0,0,0,0,2,0,.150,.455
MateoSS,3,0,1,0,0,0,0,.237,.591
McKennaRF,2,0,0,0,0,0,0,.167,.517
,31,2,5,2,1,8,10,,
