BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,5,1,2,4,0,1,0,.214,.805
Hoskins1B,5,1,2,0,0,0,2,.249,.811
Bohm3B,5,2,2,0,0,2,1,.292,.736
HarperDH,4,0,2,1,1,0,1,.320,.984
RealmutoC,3,0,0,2,1,0,2,.271,.795
Segura2B,4,0,0,0,0,1,6,.278,.736
StottSS,3,1,1,0,1,1,0,.226,.643
VierlingRF,3,1,1,0,0,2,2,.231,.629
MarshCF,4,1,1,0,0,1,2,.226,.625
,36,7,11,7,3,8,16,,
