PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Kaprielian,5.0,3,2,2,4,3,0,4.29
"Puk(H, 16)",1.0,0,0,0,0,1,0,2.36
"Acevedo(H, 17)",1.0,1,0,0,0,1,0,2.98
"Jackson, Z(BS, 3)",1.0,2,1,1,0,1,0,2.87
"Jiménez, D(W, 3-4)",2.0,1,0,0,0,1,0,3.31
,10.0,7,3,3,4,7,0,
