BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF,4,1,2,2,0,1,1,.222,.604
"Brown, S1B",4,0,0,0,1,3,4,.227,.728
"Murphy, SC",4,0,1,0,1,0,3,.249,.772
VogtDH,2,0,0,0,2,0,2,.145,.533
1-NeusePR-DH,1,0,0,1,0,0,2,.226,.591
PinderRF,4,0,0,0,0,1,2,.237,.657
Machín3B,4,1,1,0,0,2,1,.230,.577
Bride2B,4,1,1,0,0,0,3,.225,.562
"Allen, NSS",4,1,1,1,0,2,2,.207,.575
StevensonCF,3,0,2,0,0,1,0,.192,.592
,34,4,8,4,4,10,20,,
