PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,4.0,5,4,4,4,2,0,4.52
Schreiber,1.0,1,0,0,1,0,0,2.18
Ort,1.0,1,0,0,0,2,0,7.50
"Kelly, Z",1.0,3,2,2,2,1,0,6.00
Bazardo,1.0,2,2,2,0,0,1,18.00
"Familia(W, 2-1)",1.0,1,0,0,0,0,0,5.62
,9.0,13,8,8,7,5,1,
