PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
Otto,5.0,4,3,3,1,8,1,4.82
"Tinoco(H, 1)",2.0,2,0,0,1,0,0,3.52
Moore,0.1,3,2,2,1,0,0,2.24
"Leclerc(H, 4)",0.2,0,0,0,1,2,0,3.19
"Hernández, J(L, 1-1)(BS, 1)",0.1,4,4,4,3,1,0,3.86
,8.1,13,9,9,7,11,1,
