BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,1,3,1,1,0,1,.242,.714
SeagerSS,6,1,2,2,0,1,5,.256,.807
"Lowe, N1B",3,1,2,0,2,1,1,.303,.855
"García, AdRF",5,2,1,3,0,2,5,.255,.755
HeimC,4,1,1,0,1,0,3,.238,.732
TaverasCF,4,1,1,0,1,1,5,.290,.742
MathiasDH,4,0,1,1,1,0,1,.318,.908
Culberson3B,3,0,0,0,0,0,3,.257,.628
a-CalhounPH,0,0,0,1,0,0,0,.208,.625
"Duran, E3B",1,0,0,0,0,0,0,.242,.670
"Thompson, BLF",4,1,2,0,1,0,0,.276,.658
,39,8,13,8,7,5,24,,
