PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Burnes,5.0,4,3,3,3,4,1,5.40
"Ashby(L, 0-1)",1.2,3,1,1,1,1,0,5.40
Cousins,1.1,1,1,1,0,2,0,6.75
,8.0,8,5,5,4,7,1,
