BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RefsnyderRF,3,0,0,1,1,0,3,.341,1.005
Devers3B,4,1,0,0,1,1,1,.328,.979
MartinezDH,4,1,0,1,0,2,0,.313,.882
BogaertsSS,5,1,1,0,0,1,3,.326,.866
VerdugoLF,5,1,2,4,0,0,0,.266,.707
VázquezC,3,0,1,0,1,1,0,.291,.763
1-StoryPR-2B,0,0,0,0,1,0,0,.224,.720
Cordero1B,5,1,4,0,0,0,2,.252,.744
Sanchez2B,1,0,0,0,1,0,1,.000,.500
a-DalbecPH,1,0,0,0,0,1,2,.205,.617
PlaweckiC,0,0,0,0,0,0,0,.157,.497
Bradley Jr.CF,4,1,0,0,0,1,7,.207,.555
,35,6,8,6,5,7,19,,
