PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Pivetta,6.0,5,2,2,3,5,1,3.23
"Schreiber(H, 14)",1.0,0,0,0,0,1,0,0.73
"Brasier(BS, 3)",1.0,2,1,1,1,2,0,4.30
"Strahm(W, 3-2)",2.0,3,2,1,1,3,0,3.80
,10.0,10,5,4,5,11,1,
