PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Manoah,7.0,6,3,2,1,6,1,2.09
Cimber,1.0,0,0,0,0,0,0,3.69
Romano,1.0,1,0,0,1,1,0,2.89
"Phelps(L, 0-2)",0.0,0,3,2,2,0,0,3.34
Mayza,1.0,1,0,0,1,0,0,3.15
,10.0,8,6,4,5,7,1,
