PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Matz(W, 1-1)",5.2,3,0,0,0,6,0,7.27
"Helsley(H, 2)",0.1,0,0,0,0,1,0,0.00
"Cabrera, G(H, 2)",1.2,1,1,1,0,2,1,4.91
"Gallegos(S, 2)",1.1,1,0,0,0,1,0,0.00
,9.0,5,1,1,0,10,1,
