PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L",5.1,7,6,6,4,2,3,3.09
"Murfee(W, 2-0)",0.2,2,0,0,0,0,0,2.35
"Sewald(H, 6)",1.0,0,0,0,0,2,0,2.59
"Swanson, E(H, 8)",0.2,0,0,0,1,1,0,1.14
"Brash(H, 2)",0.1,0,0,0,0,1,0,6.18
"Muñoz, A(S, 2)",1.0,1,0,0,2,3,0,3.02
,9.0,10,6,6,7,9,3,
