BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti3B,4,0,0,0,0,2,3,.266,.723
"Rojas, MSS",4,0,0,0,0,1,2,.235,.621
Aguilar1B,4,0,1,0,0,0,0,.237,.681
"Anderson, BRF",3,0,0,0,1,2,0,.246,.709
FortesDH,3,0,0,0,1,0,2,.248,.772
StallingsC,4,1,1,0,0,0,0,.222,.578
Leblanc2B,3,0,1,0,0,1,1,.333,.820
a-WendlePH,1,0,0,0,0,0,0,.261,.658
BurdickCF,3,0,1,0,0,1,2,.186,.649
EncarnacionLF,2,0,1,1,1,0,1,.200,.873
,31,1,5,1,3,7,11,,
