PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Anderson,7.0,5,1,1,3,6,0,2.73
"Martin(W, 4-0)",1.0,0,0,0,0,1,0,3.86
"Phillips, E(S, 2)",1.0,0,0,0,0,0,0,1.31
,9.0,5,1,1,3,7,0,
