Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2020,,21.7,5,3.8,1,1,6,0,0.0
2021,,22.2,6,6.8,-1,2,8,2,33.3
2022,,23.1,7,8.2,-1,7,8,1,14.3
Player,,22.4,18,18.7,-1,10,22,3,16.7
