,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2020,PIT,NL,24,95,85,17,32,7,2,5,11,9,20,1,0,1,.376,.442,.682,1.124
,2021,PIT,NL,96,396,362,49,93,20,2,6,38,31,87,9,1,1,.257,.316,.373,.689
,2022,PIT,NL,136,560,505,55,123,24,3,7,41,48,122,20,5,5,.244,.314,.345,.659
,3 Seasons,PIT,NL,256,1051,952,121,248,51,7,18,90,88,229,30,6,7,.261,.326,.386,.712
