Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Indianapolis Indians,Triple-A,Bases Empty,18,18,,3,2,0,1,1,0,7,,,0,.167,.167,.444,.611
Indianapolis Indians,Triple-A,Bases Loaded,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Indianapolis Indians,Triple-A,Runner at 1st,5,4,,3,0,0,1,2,1,0,,,0,.750,.800,1.500,2.300
Indianapolis Indians,Triple-A,Runners at 1st & 3rd,1,0,,0,0,0,0,0,1,0,,,0,.000,1.000,.000,1.000
Indianapolis Indians,Triple-A,Runner at 3rd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Indianapolis Indians,Triple-A,Scoring Position,3,2,,0,0,0,0,0,1,0,,,0,.000,.333,.000,.333
