 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2020,,117,16.0,40.2%,0.9%,73,22.3,0.0%,6.8%
2021,,462,15.8,40.5%,1.3%,290,23.0,1.0%,11.4%
2022,,720,16.5,35.7%,1.4%,401,22.1,2.5%,9.5%
