Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2020,23,28.0,4.41,,5,7,107,78.8
2021,24,27.8,4.4,1,14,22,205,69.8
2022,25,27.9,4.41,,18,20,226,63.9
