PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Strider(W, 11-5)",6.0,1,1,1,3,10,1,2.67
"Matzek(H, 7)",1.0,1,0,0,1,2,0,3.16
"Minter(H, 30)",1.0,1,0,0,0,1,0,2.19
Chavez,1.0,1,1,1,0,1,1,3.50
,9.0,4,2,2,4,14,2,
