BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ArraezDH,3,1,1,0,0,0,1,.317,.802
PalaciosP,1,0,0,0,0,0,0,.111,.257
CorreaSS,3,1,2,0,1,0,0,.285,.829
Miranda1B,4,1,1,0,0,0,3,.270,.770
Gordon2B,4,1,2,2,0,0,0,.278,.769
Urshela3B,4,0,0,1,0,0,1,.272,.742
CelestinoCF,4,0,2,0,0,0,1,.242,.620
CaveLF,4,0,1,0,0,2,2,.202,.641
WallnerRF,3,0,1,0,0,1,0,.267,.780
LeonC,1,0,0,0,0,1,1,.162,.502
"Hamilton, CC",1,0,0,0,0,0,0,.000,.000
a-ContrerasPH,1,0,0,0,0,0,3,.143,.453
SanchezC,1,0,0,0,0,0,0,.213,.659
,34,4,10,3,1,4,12,,
