BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BaddooLF,5,1,0,0,0,0,4,.197,.546
"Greene, RCF",4,1,1,1,0,1,2,.254,.688
a-ClemensPH-1B,1,0,0,0,0,0,2,.148,.499
"Báez, JDH",4,2,2,2,0,0,0,.241,.677
b-HaasePH-DH,1,0,0,0,0,1,0,.251,.731
"Castro, H1B-SS",4,1,0,0,1,0,0,.272,.686
Schoop2B,3,1,2,0,1,0,0,.206,.572
"Castro, WRF",2,1,2,1,0,0,0,.241,.651
"1-Reyes, VPR-RF",2,1,0,1,0,1,2,.256,.639
Candelario3B,3,1,1,1,0,0,2,.210,.627
BarnhartC,3,1,3,2,1,0,0,.221,.552
KreidlerSS-CF,4,0,1,1,0,2,3,.203,.529
,36,10,12,9,3,5,15,,
