PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Rodriguez, Ed(W, 5-5)",6.2,5,0,0,4,3,0,4.02
Foley,0.2,3,3,3,1,0,0,4.01
De Jesus,1.2,1,0,0,0,0,0,2.13
,9.0,9,3,3,5,3,0,
