PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Heasley(L, 4-9)",4.2,6,5,4,1,1,2,5.00
Clarke,0.1,0,0,0,0,1,0,3.99
"Keller, B",1.0,2,1,1,0,2,0,5.13
"Castillo, M",0.0,1,3,3,2,0,0,4.98
Weaver,2.0,3,1,1,0,1,0,6.96
,8.0,12,10,9,3,5,2,
