BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoRF,4,0,1,0,0,2,1,.239,.735
Rivera3B,3,0,0,0,0,2,1,.250,.757
"Rojas, J2B",4,0,1,0,0,1,2,.280,.758
"Walker, C1B",4,1,1,1,0,2,1,.220,.804
McCarthyLF,4,0,1,0,0,0,1,.266,.722
"Thomas, ACF",4,0,0,0,0,2,2,.242,.672
"Kelly, CC",3,0,0,0,0,0,1,.218,.644
BeerDH,3,0,1,0,0,1,0,.189,.521
PerdomoSS,2,0,0,0,0,0,0,.197,.569
,31,1,5,1,0,10,9,,
