BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PedersonLF,3,0,1,0,0,0,0,.253,.828
"b-Davis, JPH-LF",1,0,0,0,0,1,0,.251,.739
FloresDH,4,0,1,0,0,1,1,.255,.782
Belt1B,3,0,1,0,1,2,1,.226,.715
Longoria3B,4,0,1,0,0,1,3,.246,.791
YastrzemskiCF-RF,4,0,0,0,0,2,2,.215,.703
Estrada2B,4,1,1,0,0,1,1,.268,.745
"Crawford, BraSS",3,1,1,2,1,0,0,.223,.656
BartC,3,0,1,0,0,0,2,.235,.726
Wade Jr.RF,2,0,0,0,0,1,1,.196,.759
a-SlaterPH-CF,1,0,0,0,0,1,0,.260,.761
,32,2,7,2,2,10,11,,
