PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Archer,5.0,4,2,2,2,2,1,4.47
"Megill(L, 3-2)",1.0,2,2,2,1,0,1,3.96
Pagán,1.1,1,1,1,0,2,1,4.99
"Davis, A",0.2,0,0,0,0,2,0,5.40
,8.0,7,5,5,3,6,3,
