BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Torres2B,4,1,1,0,0,1,1,.240,.706
JudgeCF-RF,3,2,2,2,1,1,0,.302,1.085
StantonDH,3,0,0,0,0,0,2,.214,.750
"a-Hicks, APH-DH",1,0,0,0,0,1,0,.213,.628
Donaldson3B,2,0,1,1,2,1,0,.220,.684
TrevinoC,3,0,0,0,0,0,2,.257,.698
"Cabrera, ORF",3,0,0,0,0,1,0,.190,.505
FlorialCF,0,0,0,0,0,0,0,.050,.186
Kiner-FalefaSS,3,1,2,1,0,0,0,.265,.641
LocastroLF,3,0,0,0,0,1,1,.162,.549
Gonzalez1B,2,1,1,1,0,0,1,.205,.627
,27,5,7,5,3,6,7,,
