 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2010,,190,794,-6,0,10,4,8
2011,,647,"2,794",-13,-14,22,13,8
2012,,604,"2,582",-6,-15,24,11,15
2013,,638,"2,745",6,-6,24,15,39
2014,,654,"2,818",-9,-3,24,11,24
2015,,658,"2,837",-21,-21,33,14,6
2016,,749,"3,023",-18,-2,31,15,26
2017,,681,"2,732",-20,-5,31,12,18
2018,,667,"2,772",-14,-17,25,15,9
2019,,671,"2,780",-8,-8,32,15,30
2020,,263,"1,153",-18,-6,14,7,-3
2021,,656,"2,706",-24,-27,27,13,-10
2022,,527,"2,162",-23,-3,19,12,5
