PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Ohtani(W, 5-4)",6.0,3,0,0,2,6,0,3.28
Loup,1.0,0,0,0,0,0,0,4.37
Tepera,1.0,1,1,1,0,1,0,4.39
"Iglesias, R(S, 13)",1.0,0,0,0,0,3,0,4.43
,9.0,4,1,1,2,10,0,
