Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,HOU,AL,P,8,5,37.0,9,2,7,0,1,,1.000
2019,HOU,AL,P,26,8,70.2,15,3,11,1,1,,.933
2020,HOU,AL,P,11,10,70.2,12,5,5,2,1,,.833
2021,HOU,AL,P,22,22,134.2,13,5,7,1,0,,.923
2022,HOU,AL,P,31,31,201.1,30,6,23,1,0,,.967
5 Seasons,HOU,AL,P,98,76,514.1,79,21,53,5,3,,.937
