PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Mahle,2.1,0,0,0,1,1,0,4.17
"Pagán(W, 4-6)",2.0,3,0,0,0,0,0,4.87
Jax,1.2,0,0,0,0,2,0,3.79
"Duran, J",1.0,2,0,0,0,2,0,2.05
Fulmer,1.0,1,0,0,1,2,0,3.06
Megill,1.0,0,0,0,0,1,0,3.00
,9.0,6,0,0,2,8,0,
