PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Varland,5.0,3,2,2,2,3,0,4.71
Jax,1.0,2,1,1,0,0,0,3.33
"López, Jo",1.0,1,0,0,0,1,0,2.61
"Thielbar(L, 4-3)",0.1,1,1,0,0,1,0,3.55
Fulmer,0.2,0,0,0,0,0,0,3.16
Megill,1.0,0,0,0,1,1,0,4.80
,9.0,7,4,3,3,6,0,
