 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2020,,33,15.4,42.4%,0.0%,11,26.0,0.0%,18.2%
2021,,211,16.9,28.0%,1.4%,146,23.8,0.7%,19.9%
2022,,681,18.1,19.8%,4.7%,473,23.4,0.6%,14.2%
