PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
Faedo,5.0,5,2,2,2,5,0,3.09
Chafin,0.2,0,0,0,1,1,0,2.92
Foley,1.1,0,0,0,0,2,0,2.87
"Lange(W, 3-1)",1.0,0,0,0,2,1,0,1.31
"Soto, G(S, 10)",1.0,0,0,0,0,0,0,2.04
,9.0,5,2,2,5,9,0,
