BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,2,1,0,0,0,.154,.599
"Rosario, ASS",3,0,0,0,0,0,2,.167,.453
"Ramírez, Jo3B",3,0,2,0,1,1,1,.308,.972
"Naylor, J1B",4,0,0,0,0,1,5,.154,.308
"Gonzalez, ORF",4,0,0,0,0,2,3,.231,.748
Gimenez2B,4,0,1,0,0,1,3,.167,.417
BrennanDH,3,0,0,0,0,2,1,.125,.250
"a-Miller, OPH",0,0,0,0,0,0,0,.000,.200
HedgesC,3,0,0,0,0,1,1,.000,.000
b-BensonPH,1,0,0,0,0,0,1,.000,.000
StrawCF,4,0,1,0,0,1,1,.273,.606
,33,1,6,1,1,9,18,,
