PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(L, 10-7)",3.0,7,6,6,2,2,3,3.65
Devenski,1.2,4,2,2,0,1,0,8.59
Brogdon,1.1,3,0,0,0,0,0,3.27
Robertson,1.0,0,0,0,1,0,0,2.40
Domínguez,1.0,3,2,2,1,1,0,3.00
,8.0,17,10,10,4,4,3,
