,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,596,533,76,146,16,62,0,.274,.341,.448,.789
12 Seasons,5891,5286,790,1522,282,899,25,.288,.352,.520,.872
