PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Garcia, L(W, 3-1)",5.0,5,0,0,2,9,0,2.94
"Martinez, S",1.2,1,0,0,0,3,0,0.00
"Taylor, B",1.1,1,0,0,0,1,0,0.84
Montero,1.0,0,0,0,0,0,0,0.68
,9.0,7,0,0,2,13,0,
