BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,1,0,0,2,0,.287,.891
Gurriel1B,4,0,3,0,0,0,0,.242,.654
"Alvarez, YLF",3,0,1,0,1,0,2,.290,.978
Bregman3B,3,0,1,0,0,0,3,.266,.842
TuckerRF,4,0,0,0,0,2,5,.256,.799
ManciniDH,3,0,0,0,1,2,1,.253,.736
McCormickCF,4,0,0,0,0,3,1,.236,.735
PeñaSS,3,0,1,0,0,0,1,.250,.695
MaldonadoC,3,0,0,0,0,1,1,.173,.571
,31,1,7,0,2,10,14,,
