PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Berríos(W, 1-0)",6.0,8,1,1,1,6,0,6.35
Mayza,0.2,2,0,0,0,0,0,1.93
"Richards, T",1.1,0,0,0,0,2,0,1.59
Merryweather,1.0,0,0,0,0,1,0,6.35
,9.0,10,1,1,1,9,0,
