PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
Kremer,5.1,5,1,1,2,4,0,3.45
"Tate(BS, 1)",1.2,1,1,1,0,1,1,2.48
"Pérez, C(W, 7-1)",1.0,0,0,0,0,1,0,1.67
"Bautista, F(S, 8)",1.0,1,1,1,0,1,1,1.73
,9.0,7,3,3,2,7,2,
