Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2017,0,,0,0,0,0,0,0,0,0,68,67,-1
2018,0,,0,-1,0,-1,0,0,0,0,86,84,-2
2019,3,,-2,0,1,0,1,2,0,3,88,89,1
2020,2,,0,0,1,0,0,1,0,1,92,93,1
2021,-5,,-1,-2,-1,-4,-1,0,0,-2,88,86,-2
2022,-4,,-4,2,-2,-4,0,2,-2,0,84,83,-1
