Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Boston Red Sox,MLB,vs Left,170,154,,41,10,1,1,20,14,24,,,1,.266,.329,.364,.693
Boston Red Sox,MLB,vs Right,474,439,,125,29,0,10,54,28,62,,,2,.285,.327,.419,.746
