 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,151,97.2,93.3,--,--,--,--,--,--,--,--,75,91.8,1,--,75,94.8
2021,444,96.4,90.4,--,--,--,--,--,--,--,--,255,91.1,134,88.9,55,89.9
2022,419,98.9,88.7,--,--,--,--,--,--,--,--,286,89.2,--,--,133,87.3
