Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2017,L,21,0,0.0,.253,
2018,L,74,2,2.7,.343,.000
2019,L,376,100,26.6,.351,.313
2020,L,219,91,41.6,.396,.317
2021,L,592,284,48.0,.318,.345
2022,L,638,150,23.5,.334,.280
