 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,74,298,-4,-1,3,1,-1
2019,,371,"1,451",0,-20,12,8,1
2020,,220,923,0,-3,4,4,5
2021,,645,"2,525",-3,-17,22,9,11
2022,,642,"2,490",8,-16,11,8,11
